filename,width,height,class,xmin,ymin,xmax,ymax
algal_leaf_in_tea100_jpg.rf.79a892fec8e1814d24554e1917ab6d2c.jpg,320,320,Algal Leaf,74,69,224,265
algal_leaf_in_tea100_jpg.rf.b1205828aacb99d8837ba98fd8cc9379.jpg,320,320,Algal Leaf,74,69,224,265
algal_leaf_in_tea100_jpg.rf.dfb36dcf4fc69dc8c94729899ac00da0.jpg,320,320,Algal Leaf,74,69,224,265
algal_leaf_in_tea101_jpg.rf.17a8788faf44c81a7e1c3f216802dac7.jpg,320,320,Algal Leaf,50,35,263,285
algal_leaf_in_tea101_jpg.rf.b9ac26358171909a552348c705ccf4c3.jpg,320,320,Algal Leaf,50,35,263,285
algal_leaf_in_tea102_jpg.rf.8c4f94fde89ad34d97ad95bc2060f5d8.jpg,320,320,Algal Leaf,54,63,221,321
algal_leaf_in_tea102_jpg.rf.ba39ac3d90027333d9654234a2ac792d.jpg,320,320,Algal Leaf,53,63,221,321
algal_leaf_in_tea103_jpg.rf.06d222710a1583e6385b561a957b8e9a.jpg,320,320,Algal Leaf,69,19,256,321
algal_leaf_in_tea103_jpg.rf.7bb506121dcf264a6c1249a579c609bc.jpg,320,320,Algal Leaf,69,19,256,321
algal_leaf_in_tea104_jpg.rf.15250cba0615db3c7de77d2229801659.jpg,320,320,Algal Leaf,76,72,211,287
algal_leaf_in_tea104_jpg.rf.6625f69fa9b4c8d739589b23930d084b.jpg,320,320,Algal Leaf,76,72,211,287
algal_leaf_in_tea105_jpg.rf.65445bff5805775d747fb9bc77cfb364.jpg,320,320,Algal Leaf,111,34,249,249
algal_leaf_in_tea105_jpg.rf.a8b7a078da4cc8b97c5a5b5e7cce51ce.jpg,320,320,Algal Leaf,111,34,249,249
algal_leaf_in_tea105_jpg.rf.be9b6061c01ffef24fecfc4b581c41eb.jpg,320,320,Algal Leaf,111,34,249,249
algal_leaf_in_tea106_jpg.rf.06c8690364ba71043ca8651d2b62ef97.jpg,320,320,Algal Leaf,114,75,251,289
algal_leaf_in_tea106_jpg.rf.0c6e85d8f23d4f1db08891fc2f9d6125.jpg,320,320,Algal Leaf,114,75,251,289
algal_leaf_in_tea106_jpg.rf.71c52a35f4737aafcb988ee75e56f10c.jpg,320,320,Algal Leaf,114,75,251,289
algal_leaf_in_tea107_jpg.rf.fd7415d55886cbdbfdca9b1ab4a9fc4a.jpg,320,320,Algal Leaf,46,14,233,310
algal_leaf_in_tea108_jpg.rf.e3473c246300aeac57ccb1a0d3eb782f.jpg,320,320,Algal Leaf,89,11,278,310
algal_leaf_in_tea109_jpg.rf.b7859c185e99dea2c94db8f2e2f06310.jpg,320,320,Algal Leaf,69,25,237,321
algal_leaf_in_tea10_jpg.rf.fe2e624e1bed6f9579ae6326aefdd425.jpg,320,320,Algal Leaf,69,19,264,297
algal_leaf_in_tea110_jpg.rf.2d53c0e817b37b5735980a30b2e70bba.jpg,320,320,Algal Leaf,51,31,259,318
algal_leaf_in_tea110_jpg.rf.be30953c83f9ccf337e38f826ad0a440.jpg,320,320,Algal Leaf,51,31,259,318
algal_leaf_in_tea110_jpg.rf.ca377fd9675d51d3534c1d8267413dc0.jpg,320,320,Algal Leaf,51,31,259,318
algal_leaf_in_tea111_jpg.rf.1fbfc571f270376f59da97c7627f9229.jpg,320,320,Algal Leaf,83,25,254,321
algal_leaf_in_tea111_jpg.rf.55e0846b8f57c8568c7f2c5c761175e8.jpg,320,320,Algal Leaf,83,25,254,321
algal_leaf_in_tea111_jpg.rf.d0f722039cf6f60083dcbde11650f7f0.jpg,320,320,Algal Leaf,83,25,254,321
algal_leaf_in_tea112_jpg.rf.cca8c83cd0acd7e8c71e11374351bf70.jpg,320,320,Algal Leaf,126,91,242,306
algal_leaf_in_tea112_jpg.rf.ccb2e8d6fd51df4b6cab47c3e993c778.jpg,320,320,Algal Leaf,127,91,242,306
algal_leaf_in_tea112_jpg.rf.f2e493e094674b096ebc4d233a27e5ea.jpg,320,320,Algal Leaf,126,91,242,306
algal_leaf_in_tea113_jpg.rf.debebb4b2e78d8b6547dbadaf34ce5a4.jpg,320,320,Algal Leaf,57,11,261,321
algal_leaf_in_tea114_jpg.rf.ec255441f5b9249e87adf8683b9bd0b9.jpg,320,320,Algal Leaf,118,1,264,291
algal_leaf_in_tea115_jpg.rf.b7a41c48a9fc206a54113942cdfcf1e1.jpg,320,320,Algal Leaf,115,31,262,321
algal_leaf_in_tea115_jpg.rf.fc63d12c2583ce89c3185c68499d0242.jpg,320,320,Algal Leaf,115,31,263,321
algal_leaf_in_tea116_jpg.rf.1a80ef8f5bf3e249385788d6e38066f8.jpg,320,320,Algal Leaf,49,128,233,197
algal_leaf_in_tea116_jpg.rf.5364d1697fdf7addc88471f553273d26.jpg,320,320,Algal Leaf,48,128,233,197
algal_leaf_in_tea116_jpg.rf.9efbea0609d2a7228866c21d69b32a73.jpg,320,320,Algal Leaf,48,128,233,197
algal_leaf_in_tea117_jpg.rf.b769d64ee79904eaba771e512465679d.jpg,320,320,Algal Leaf,44,44,236,289
algal_leaf_in_tea117_jpg.rf.d2f7052cc4c3a8440978b22a54cf1ba2.jpg,320,320,Algal Leaf,44,44,236,289
algal_leaf_in_tea117_jpg.rf.d6ef96eff9ede65b3f429a9b86450dc9.jpg,320,320,Algal Leaf,43,44,236,289
algal_leaf_in_tea118_jpg.rf.0ee2949383f1ca2ce5616bea2209915a.jpg,320,320,Algal Leaf,44,32,237,276
algal_leaf_in_tea118_jpg.rf.9ee7a3d8d19a3ccd907804e9b54aebcb.jpg,320,320,Algal Leaf,44,32,237,276
algal_leaf_in_tea118_jpg.rf.dde2ca7b801d494ad307c43f1438d50f.jpg,320,320,Algal Leaf,44,32,237,276
algal_leaf_in_tea119_jpg.rf.46fef2b500cd2ce5d5480282c61d7db8.jpg,320,320,Algal Leaf,82,55,232,279
algal_leaf_in_tea11_jpg.rf.a8b448609a9c506d7d178edf47364a9b.jpg,320,320,Algal Leaf,103,65,271,321
algal_leaf_in_tea120_jpg.rf.537b683c77332b08d7d0ae46ef5069ea.jpg,320,320,Algal Leaf,93,43,241,267
algal_leaf_in_tea120_jpg.rf.c49a535e09da31547b58cf775ff88cf7.jpg,320,320,Algal Leaf,93,42,241,267
algal_leaf_in_tea121_jpg.rf.e4a502ee589effe77cbce50ef2b2f660.jpg,320,320,Algal Leaf,90,55,239,280
algal_leaf_in_tea121_jpg.rf.ed796d884e2b124ccba5f3d6e2f2d824.jpg,320,320,Algal Leaf,90,55,239,280
